DIRECTORATE,SUB DIRECTORTE,"ACCOUNTING
DATE",COST CENTRE,VENDOR NAME,INVOICE DISTRIBUTION AMOUNT,ACCOUNT TYPE
DIRECT ENVIRONMENT AND HOUSING,PUBLIC BUILDINGS,25/06/2020,303931,KS Barry (Plumbing & Heating) Limited,705.07,Revenue
DIRECT ENVIRONMENT AND HOUSING,HOUSING - MRA,25/06/2020,305880,SMK Building & Maintenance Limited,"12,937.23",Revenue
DIRECT ENVIRONMENT AND HOUSING,PUBLIC BUILDINGS,25/06/2020,305980,Gibbon Equipment Hire Limited,535.72,Revenue
DIRECT ENVIRONMENT AND HOUSING,PUBLIC BUILDINGS,25/06/2020,306001,Hi Tech Industrial Roofing Limited,"2,365.00",Revenue
DIRECT ENVIRONMENT AND HOUSING,HOUSING - MRA,25/06/2020,306010,Howden Joinery Limited,953.67,Revenue
DIRECT ENVIRONMENT AND HOUSING,BUILDING CARETAKING/SECURITY,25/06/2020,312160,HSG Facilities Management Limited,"2,052.96",Revenue
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,25/06/2020,333510,Ace Site Services (UK) Limited,980.00,Revenue
DIRECT MANAGING DIRECTOR AND RESOURCES,GF LEGAL AND DEMOCRATIC,25/06/2020,400051,Democracy Counts Limited,"12,000.00",Revenue
DIRECT MANAGING DIRECTOR AND RESOURCES,REGULATORY SERVICES SHARED SERVICES,25/06/2020,403180,Herongrange Security & Systems Limited,"4,284.00",Revenue
DIRECT MANAGING DIRECTOR AND RESOURCES,REGULATORY SERVICES SHARED SERVICES,25/06/2020,403180,Herongrange Security & Systems Limited,"4,284.00",Revenue
DIRECT MANAGING DIRECTOR AND RESOURCES,REGULATORY SERVICES SHARED SERVICES,25/06/2020,403180,Herongrange Security & Systems Limited,"4,284.00",Revenue
DIRECT MANAGING DIRECTOR AND RESOURCES,REGULATORY SERVICES SHARED SERVICES,25/06/2020,403180,Herongrange Security & Systems Limited,"4,658.00",Revenue
DIRECT MANAGING DIRECTOR AND RESOURCES,REGULATORY SERVICES SHARED SERVICES,25/06/2020,403205,Matts Monitors Limited,"1,850.00",Revenue
DIRECT MANAGING DIRECTOR AND RESOURCES,REGULATORY SERVICES SHARED SERVICES,25/06/2020,403370,Hope Rescue Centre Limited,906.84,Revenue
DIRECT MANAGING DIRECTOR AND RESOURCES,GF CORPORATE AND CUSTOMER SERVICES,25/06/2020,440530,4Net Technologies Limited,"5,800.00",Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,25/06/2020,341123,Cardiff County Council,"25,060.36",Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,25/06/2020,341500,Cardiff County Council,"28,656.04",Revenue
DIRECT ENVIRONMENT AND HOUSING,PUBLIC BUILDINGS,25/06/2020,306002,Michael Bryl & Ptn T/A CW Facilities Management,"1,728.00",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,25/06/2020,217909,Bridgend College,"10,240.92",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,25/06/2020,217909,Bridgend College,"10,240.92",Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,25/06/2020,101065,Teaching Personnel Limited,528.10,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,25/06/2020,101065,Teaching Personnel Limited,528.10,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,25/06/2020,101065,Teaching Personnel Limited,528.10,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,25/06/2020,101304,Teaching Personnel Limited,"1,963.10",Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,25/06/2020,101304,Teaching Personnel Limited,"1,963.10",Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,25/06/2020,101304,Teaching Personnel Limited,"1,963.10",Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,25/06/2020,101304,Teaching Personnel Limited,"1,963.10",Revenue
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,25/06/2020,422160,Hays Specialist Recruitment Limited,935.40,Revenue
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,25/06/2020,422160,Hays Specialist Recruitment Limited,"1,153.66",Revenue
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,25/06/2020,422160,Hays Specialist Recruitment Limited,"1,153.66",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,25/06/2020,215022,Harrison Care Enterprises Barry Limited t/a Island View,708.01,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,25/06/2020,215022,Harrison Care Enterprises Barry Limited t/a Island View,"1,079.73",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,25/06/2020,215022,Harrison Care Enterprises Barry Limited t/a Island View,"2,652.72",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,25/06/2020,215022,Harrison Care Enterprises Barry Limited t/a Island View,"2,652.72",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,25/06/2020,215022,Harrison Care Enterprises Barry Limited t/a Island View,"2,652.72",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,25/06/2020,215022,Harrison Care Enterprises Barry Limited t/a Island View,"2,652.72",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,25/06/2020,215022,Harrison Care Enterprises Barry Limited t/a Island View,"2,652.72",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,25/06/2020,215022,Harrison Care Enterprises Barry Limited t/a Island View,"2,652.72",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,25/06/2020,215022,Harrison Care Enterprises Barry Limited t/a Island View,"2,652.72",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,25/06/2020,215022,Harrison Care Enterprises Barry Limited t/a Island View,"2,652.72",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,25/06/2020,215022,Harrison Care Enterprises Barry Limited t/a Island View,"2,652.72",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,25/06/2020,215022,Harrison Care Enterprises Barry Limited t/a Island View,"2,652.72",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,25/06/2020,215022,Harrison Care Enterprises Barry Limited t/a Island View,"2,652.72",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,25/06/2020,217909,The Cedars Care Services Limited t/a The Willows,"1,014.00",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,25/06/2020,217909,Consensus Support Services Limited t/a Ty Hendy,"12,127.96",Revenue
DIRECT ENVIRONMENT AND HOUSING,NEW REGENERATION,25/06/2020,356021,Nathan Thomas t/a N Thomas Landscapes,"2,080.00",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/06/2020,215489,Caring Companions Limited,500.76,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/06/2020,215489,All Care (South Wales) Limited,516.18,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/06/2020,215489,Caring Companions Limited,561.40,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/06/2020,215489,Caring Companions Limited,598.36,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/06/2020,215489,Caring Companions Limited,598.36,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/06/2020,215489,Caring Companions Limited,598.36,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/06/2020,215489,Caring Companions Limited,658.84,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/06/2020,215489,All Care (South Wales) Limited,667.64,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/06/2020,215489,All Care (South Wales) Limited,704.62,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/06/2020,215489,All Care (South Wales) Limited,704.62,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/06/2020,215489,All Care (South Wales) Limited,807.93,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/06/2020,215489,All Care (South Wales) Limited,817.43,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/06/2020,215489,All Care (South Wales) Limited,902.98,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/06/2020,215489,All Care (South Wales) Limited,"1,112.09",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/06/2020,216179,All Care (South Wales) Limited,798.42,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/06/2020,216179,All Care (South Wales) Limited,883.97,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/06/2020,217909,All Care (South Wales) Limited,768.60,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,26/06/2020,101094,I Teach (Wales) Limited,"1,191.00",Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,26/06/2020,101094,I Teach (Wales) Limited,"1,712.25",Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,26/06/2020,101094,I Teach (Wales) Limited,"12,497.65",Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,26/06/2020,101195,One Team Logic Limited,805.00,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,26/06/2020,101195,A-Day Consultants Limited T/A Academics,955.50,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,26/06/2020,101202,WWS 1987 Limited T/A Welsh Window Systems,"2,980.00",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/06/2020,215489,Cwtch Care Limited,562.66,Revenue
DIRECT ENVIRONMENT AND HOUSING,OVERHEAD,26/06/2020,301062,G.P.H.I.T (Integrated Services) Limited,540.00,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,26/06/2020,325000,Kordel Limited,975.00,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,26/06/2020,325355,Kordel Limited,"1,941.81",Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,26/06/2020,325365,Cemex UK Materials Limited,612.36,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,26/06/2020,325368,Kordel Limited,"1,203.12",Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,26/06/2020,325368,Kordel Limited,"1,941.81",Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,26/06/2020,325374,Kordel Limited,575.00,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,26/06/2020,325374,Kordel Limited,705.86,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,26/06/2020,325374,Allmarque PMS Limited T/A Roman Road Marking,"24,119.20",Revenue
DIRECT ENVIRONMENT AND HOUSING,NEW REGENERATION,26/06/2020,357101,Computacenter (UK) Limited,"1,315.79",Revenue
DIRECT MANAGING DIRECTOR AND RESOURCES,REGULATORY SERVICES SHARED SERVICES,26/06/2020,403180,Herongrange Security & Systems Limited,"12,360.00",Revenue
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,26/06/2020,405004,Eclipse Hotel Cardiff Limited T/A Holiday Inn Express,"3,566.50",Revenue
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,26/06/2020,405004,Eclipse Hotel Cardiff Limited T/A Holiday Inn Express,"5,349.75",Revenue
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,26/06/2020,421230,Cognitive Network Solutions Limited,"2,995.95",Revenue
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,26/06/2020,421230,Computacenter (UK) Limited,"23,827.20",Revenue
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HIGHWAYS,26/06/2020,831528,Acrospire Solutions Limited,"13,343.00",Capital
DIRECT CAPITAL POLICY,CAPITAL POLICY,26/06/2020,852548,Democracy Counts Limited,"100,000.00",Capital
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,26/06/2020,405004,Ian & Jackie Rogers,600.00,Revenue
DIRECT POLICY,GF GENERAL EXPENDITURE POLICY,26/06/2020,471900,Wales Audit Office,"8,117.00",Revenue
DIRECT POLICY,GF GENERAL EXPENDITURE POLICY,26/06/2020,471900,Wales Audit Office,"13,666.67",Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,26/06/2020,101055,Bay Resourcing Limited,562.81,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,26/06/2020,101094,New Directions (Education) Limited,795.00,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,26/06/2020,101202,Valley Education Services Limited,793.25,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,26/06/2020,101202,Valley Education Services Limited,793.25,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,26/06/2020,102593,Teaching Personnel Limited,544.25,Revenue
DIRECT MANAGING DIRECTOR AND RESOURCES,GF LEGAL AND DEMOCRATIC,26/06/2020,400050,Sellick Partnership Limited,"1,809.23",Revenue
DIRECT MANAGING DIRECTOR AND RESOURCES,GF LEGAL AND DEMOCRATIC,26/06/2020,400050,Sellick Partnership Limited,"1,868.35",Revenue
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,26/06/2020,405004,Heather A Tucker T/A Tadross Hotel,"6,720.00",Revenue
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,26/06/2020,405100,Susan Shepherd t/a KKG Properties,652.77,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,26/06/2020,405100,Susan Shepherd t/a KKG Properties,"1,246.20",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,29/06/2020,215489,Willowmere Home Care Agency Limited,500.78,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,29/06/2020,215489,Hallows Care Limited T/A Hallows Care,509.58,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,29/06/2020,215489,Hallows Care Limited T/A Hallows Care,535.26,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,29/06/2020,215489,Cardiff & Vale Caring 4 U Limited T/A Caremark Cardiff & The Vale of Glamorgan,549.30,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,29/06/2020,215489,Cardiff & Vale Caring 4 U Limited T/A Caremark Cardiff & The Vale of Glamorgan,549.30,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,29/06/2020,215489,Hallows Care Limited T/A Hallows Care,560.23,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,29/06/2020,215489,Willowmere Home Care Agency Limited,604.52,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,29/06/2020,215489,Willowmere Home Care Agency Limited,616.88,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,29/06/2020,215489,Hallows Care Limited T/A Hallows Care,628.88,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,29/06/2020,215489,Hallows Care Limited T/A Hallows Care,650.58,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,29/06/2020,215489,Willowmere Home Care Agency Limited,655.34,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,29/06/2020,215489,Hallows Care Limited T/A Hallows Care,674.91,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,29/06/2020,215489,Hallows Care Limited T/A Hallows Care,680.56,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,29/06/2020,215489,Hallows Care Limited T/A Hallows Care,698.74,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,29/06/2020,215489,Willowmere Home Care Agency Limited,706.98,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,29/06/2020,215489,Willowmere Home Care Agency Limited,706.98,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,29/06/2020,215489,Willowmere Home Care Agency Limited,736.44,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,29/06/2020,215489,Hallows Care Limited T/A Hallows Care,759.80,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,29/06/2020,215489,Willowmere Home Care Agency Limited,764.96,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,29/06/2020,215489,Cardiff & Vale Caring 4 U Limited T/A Caremark Cardiff & The Vale of Glamorgan,765.74,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,29/06/2020,215489,Cardiff & Vale Caring 4 U Limited T/A Caremark Cardiff & The Vale of Glamorgan,765.74,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,29/06/2020,215489,Willowmere Home Care Agency Limited,771.86,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,29/06/2020,215489,Cardiff & Vale Caring 4 U Limited T/A Caremark Cardiff & The Vale of Glamorgan,798.22,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,29/06/2020,215489,Cardiff & Vale Caring 4 U Limited T/A Caremark Cardiff & The Vale of Glamorgan,798.22,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,29/06/2020,215489,Cardiff & Vale Caring 4 U Limited T/A Caremark Cardiff & The Vale of Glamorgan,798.56,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,29/06/2020,215489,Cardiff & Vale Caring 4 U Limited T/A Caremark Cardiff & The Vale of Glamorgan,798.56,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,29/06/2020,215489,Cardiff & Vale Caring 4 U Limited T/A Caremark Cardiff & The Vale of Glamorgan,816.17,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,29/06/2020,215489,Cardiff & Vale Caring 4 U Limited T/A Caremark Cardiff & The Vale of Glamorgan,816.17,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,29/06/2020,215489,Willowmere Home Care Agency Limited,876.15,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,29/06/2020,215489,Willowmere Home Care Agency Limited,877.76,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,29/06/2020,215489,Cardiff & Vale Caring 4 U Limited T/A Caremark Cardiff & The Vale of Glamorgan,898.93,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,29/06/2020,215489,Cardiff & Vale Caring 4 U Limited T/A Caremark Cardiff & The Vale of Glamorgan,898.93,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,29/06/2020,216179,Willowmere Home Care Agency Limited,500.78,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,29/06/2020,100303,A-Day Consultants Limited T/A Academics,761.55,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,29/06/2020,100303,A-Day Consultants Limited T/A Academics,"1,370.79",Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,29/06/2020,101047,RP Brown Limited t/a Cymraeg Cleaning,650.00,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,29/06/2020,101047,RP Brown Limited t/a Cymraeg Cleaning,650.00,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,29/06/2020,101047,RP Brown Limited t/a Cymraeg Cleaning,650.00,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,29/06/2020,101047,RP Brown Limited t/a Cymraeg Cleaning,650.00,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,29/06/2020,101110,Javen Products Limited,"3,270.80",Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,29/06/2020,101145,Minton House Group Limited t/a The Education Broker,"5,903.61",Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,29/06/2020,101180,3P Learning Limited,"2,308.50",Revenue
DIRECT LEARNING AND SKILLS,GF CATERING,29/06/2020,156009,Filco Supermarkets Limited,"1,638.00",Revenue
DIRECT SOCIAL SERVICES,GF RESOURCES MANAGEMENT & SAFEGUARDING,29/06/2020,212791,PHS Group Plc,559.62,Revenue
DIRECT SOCIAL SERVICES,GF RESOURCES MANAGEMENT & SAFEGUARDING,29/06/2020,216002,Invacare Limited,"1,141.20",Revenue
DIRECT SOCIAL SERVICES,GF RESOURCES MANAGEMENT & SAFEGUARDING,29/06/2020,239112,Go 2 Telecom Limited,"3,262.98",Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,29/06/2020,260210,NonStop Consulting Limited,"1,336.44",Revenue
DIRECT ENVIRONMENT AND HOUSING,GARAGE,29/06/2020,319010,Fleetwheel Limited,525.00,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,29/06/2020,325890,Centregreat Limited,"14,879.88",Revenue
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,29/06/2020,333013,The Firewood Company (UK) Limited T/A Esa Tree Care,"1,570.00",Revenue
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,29/06/2020,333154,The Firewood Company (UK) Limited T/A Esa Tree Care,"2,100.00",Revenue
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,29/06/2020,333510,Ace Site Services (UK) Limited,890.00,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,29/06/2020,333510,British Polythene Limited t/a BPI Recycled Products,"1,255.41",Revenue
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,29/06/2020,333550,Total Ground Care Limited,"5,710.00",Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,29/06/2020,341500,Cromwell Polythene Limited,"7,478.64",Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,29/06/2020,341500,Cromwell Polythene Limited,"8,408.73",Revenue
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,29/06/2020,365791,Easyway Minicoach Hire Limited,"9,958.00",Revenue
DIRECT MANAGING DIRECTOR AND RESOURCES,GF LEGAL AND DEMOCRATIC,29/06/2020,400063,British Telecommunications Plc,"16,147.66",Revenue
DIRECT ENVIRONMENT AND HOUSING,HRA MANAGEMENT,29/06/2020,407100,NCC Services Limited,"1,045.00",Revenue
DIRECT ENVIRONMENT AND HOUSING,HRA MANAGEMENT,29/06/2020,407111,NCC Services Limited,645.00,Revenue
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,29/06/2020,420228,Qolcom Limited,"3,450.00",Revenue
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,29/06/2020,420228,Qolcom Limited,"66,596.53",Revenue
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,29/06/2020,421230,Qolcom Limited,"1,375.00",Revenue
DIRECT CAPITAL LEARN AND SKILLS,CAPITAL SCHOOLS,29/06/2020,810119,CHAPS ONLY - Morgan Sindall Construction & Infrastructure Limited,"1,587,454.05",Capital
DIRECT POLICY,GF GENERAL EXPENDITURE POLICY,29/06/2020,471900,HM Revenue and Customs - Glasgow - Chaps,"42,201.00",Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,29/06/2020,100303,New Directions (Education) Limited,965.60,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,29/06/2020,100303,New Directions (Education) Limited,965.60,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,29/06/2020,101047,New Directions (Education) Limited,757.50,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,29/06/2020,101315,New Directions (Education) Limited,930.70,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,29/06/2020,101315,Teaching Personnel Limited,"1,638.50",Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,29/06/2020,101315,Julian Heinam t/a JV Tree Services,720.00,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,29/06/2020,217909,Susan Heffernan T/A Baruc Guest House,577.48,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,29/06/2020,217909,Susan Heffernan T/A Baruc Guest House,588.76,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,29/06/2020,217909,Susan Heffernan T/A Baruc Guest House,622.48,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,29/06/2020,217909,Susan Heffernan T/A Baruc Guest House,633.16,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,29/06/2020,217909,Susan Heffernan T/A Baruc Guest House,721.85,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,29/06/2020,217909,Susan Heffernan T/A Baruc Guest House,778.10,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,29/06/2020,217909,Susan Heffernan T/A Baruc Guest House,980.00,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,29/06/2020,217909,Susan Heffernan T/A Baruc Guest House,980.00,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,29/06/2020,217909,Susan Heffernan T/A Baruc Guest House,980.00,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,29/06/2020,217909,Susan Heffernan T/A Baruc Guest House,980.00,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,29/06/2020,217909,Susan Heffernan T/A Baruc Guest House,"1,225.00",Revenue
DIRECT ENVIRONMENT AND HOUSING,GARAGE,29/06/2020,319010,Ceri Williams t/a Mobile Tyre Services,913.05,Revenue
DIRECT ENVIRONMENT AND HOUSING,GARAGE,29/06/2020,319010,Ceri Williams t/a Mobile Tyre Services,"1,044.41",Revenue
DIRECT ENVIRONMENT AND HOUSING,GARAGE,29/06/2020,319010,Ceri Williams t/a Mobile Tyre Services,"1,166.24",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,30/06/2020,215022,Heidi Christoforato t/a Churchfields Home Care,545.00,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,30/06/2020,215022,Annwyl Limited t/a Bluebird Care,600.00,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,30/06/2020,215022,Heidi Christoforato t/a Churchfields Home Care,760.00,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,30/06/2020,215022,Willowmere Home Care Agency Limited,760.20,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,30/06/2020,215022,Willowmere Home Care Agency Limited,871.78,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,30/06/2020,215022,Willowmere Home Care Agency Limited,871.78,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,30/06/2020,215022,Willowmere Home Care Agency Limited,"1,900.00",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,30/06/2020,215022,Annwyl Limited t/a Bluebird Care,"1,969.20",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,30/06/2020,215489,1st Grade Care Limited,730.62,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,30/06/2020,218419,A1 Care Services Limited t/a Ty Ceirios Nursing Home,517.95,Revenue
DIRECT LEARNING AND SKILLS,SCHOOL IMPROVEMENT,30/06/2020,102636,Empowering Learning Limited,521.60,Revenue
DIRECT LEARNING AND SKILLS,SCHOOL IMPROVEMENT,30/06/2020,102636,Now Education Cardiff Limited,524.45,Revenue
DIRECT LEARNING AND SKILLS,SCHOOL IMPROVEMENT,30/06/2020,102636,Now Education Cardiff Limited,524.45,Revenue
