Directorate,Sub Directorate,Accounting Date,COST CENTRE,Supplier Name,Net Amount,,
DIRECT ENVIRONMENT AND HOUSING,BUILDING SERVICES,26-Nov-2018,303931,G.P.H.I.T (Integrated Services) Limited,"2,139.00",,
DIRECT ENVIRONMENT AND HOUSING,BUILDING SERVICES,26-Nov-2018,303950,MSS Consulting Limited,"4,950.00",,
DIRECT ENVIRONMENT AND HOUSING,BUILDING SERVICES,26-Nov-2018,305711,SMK Building & Maintenance Limited,"13,231.39",,
DIRECT ENVIRONMENT AND HOUSING,BUILDING SERVICES,26-Nov-2018,305779,Gibbon Equipment Hire Limited,553.56,,
DIRECT ENVIRONMENT AND HOUSING,REGENERATION & PLANNING,26-Nov-2018,365761,11kbw Limited,"4,800.00",,
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,26-Nov-2018,365789,Merricks Private Transport Contractors Limited,"1,200.00",,
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,26-Nov-2018,365789,Merricks Private Transport Contractors Limited,920.00,,
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,26-Nov-2018,365789,Merricks Private Transport Contractors Limited,720.00,,
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,26-Nov-2018,365789,Merricks Private Transport Contractors Limited,"1,520.00",,
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,26-Nov-2018,365789,Merricks Private Transport Contractors Limited,560.00,,
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,26-Nov-2018,365790,Merricks Private Transport Contractors Limited,"1,672.00",,
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,26-Nov-2018,365790,Merricks Private Transport Contractors Limited,800.00,,
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,26-Nov-2018,365790,Wheadon Group Travel Limited,"11,761.00",,
DIRECT ENVIRONMENT AND HOUSING,REGULATORY SHARED SERVICES,26-Nov-2018,403342,Harcourt Litho Limited,940.00,,
DIRECT CAPITAL LEARN AND SKILLS,AR CAPITAL SCHOOLS,26-Nov-2018,812251,Marketing Results Limited t/a Birchwood Trading,887.24,,
DIRECT CAPITAL DEVELOPMENT,AR CAPITAL LEISURE,26-Nov-2018,835383,Celtic Composites Limited,530.00,,
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,26-Nov-2018,842066,Heatforce (Wales) Limited,"3,250.00",,
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,26-Nov-2018,842066,Heatforce (Wales) Limited,"5,379.40",,
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,26-Nov-2018,842066,Heatforce (Wales) Limited,"5,379.40",,
DIRECT CAPITAL DEVELOPMENT,CAPITAL ECO DEV,26-Nov-2018,834231,Timothy J Crane & Ptns T/A Cranes Solicitors,"13,347.36",,
DIRECT CAPITAL DEVELOPMENT,CAPITAL LEISURE,26-Nov-2018,835031,Western Power Distribution LLP,873.99,,
DIRECT MANAGING DIRECTOR AND RESOURCES,GF GENERAL EXPENDITURE POLICY,26-Nov-2018,471900,HM Revenue and Customs - Glasgow - Chaps,"39,871.00",,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,26-Nov-2018,101055,Bay Resourcing Limited,601.60,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,26-Nov-2018,101055,Bay Resourcing Limited,601.60,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,26-Nov-2018,101202,Valley Education Services Limited,610.38,,
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,26-Nov-2018,103110,New Directions (Education) Limited,643.75,,
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,26-Nov-2018,103110,New Directions (Education) Limited,643.75,,
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,26-Nov-2018,103285,Bay Resourcing Limited,625.64,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26-Nov-2018,217909,April Complete Care Solutions Limited,866.90,,
DIRECT ENVIRONMENT AND HOUSING,BUILDING SERVICES,26-Nov-2018,304103,Andrew Kirke t/a Metron Wrought Ironwork,600.00,,
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,26-Nov-2018,365790,Nigel Martlew t/a Caring Coaches,"6,719.60",,
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,26-Nov-2018,365795,Nigel Martlew t/a Caring Coaches,"2,750.40",,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,26-Nov-2018,101202,Memorial Hall and Theatre t/a Memo Arts Centre,637.60,,
DIRECT LEARNING AND SKILLS,ACHIEVEMENT FOR ALL,26-Nov-2018,190056,Cylch Meithrin Llanilltud Fawr,"1,429.26",,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,215489,All Care (South Wales) Limited,766.26,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,215489,All Care (South Wales) Limited,775.17,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,215489,All Care (South Wales) Limited,507.87,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,215489,All Care (South Wales) Limited,908.82,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,216179,All Care (South Wales) Limited,855.36,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,216179,All Care (South Wales) Limited,792.99,,
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,27-Nov-2018,100401,Capita Business Services Limited,"1,525.47",,
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,27-Nov-2018,100402,Capita Business Services Limited,"5,736.81",,
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,27-Nov-2018,100403,Capita Business Services Limited,828.56,,
DIRECT LEARNING AND SKILLS,STRATEGY COMMUNITY LEARNING & RESOURCES,27-Nov-2018,100705,Alpine Land Surveyors Limited,"3,465.00",,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,27-Nov-2018,101075,Pearson Education Limited,978.00,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,27-Nov-2018,101094,Dwr Cymru Cyf,"1,148.67",,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,27-Nov-2018,101213,Ruth Miskin Literacy Limited,500.00,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,27-Nov-2018,101285,Midshire Business Systems (Northern) Limited,702.70,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,27-Nov-2018,101285,Midshire Business Systems (Northern) Limited,"1,103.86",,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,27-Nov-2018,102593,ARM Alarm Radio Monitoring Limited,"1,814.75",,
DIRECT LEARNING AND SKILLS,ACHIEVEMENT FOR ALL,27-Nov-2018,102632,Inspired Learners Limited,620.00,,
DIRECT LEARNING AND SKILLS,ACHIEVEMENT FOR ALL,27-Nov-2018,102652,Kings Monkton Independent School Limited,"6,506.80",,
DIRECT LEARNING AND SKILLS,ACHIEVEMENT FOR ALL,27-Nov-2018,102652,Kings Monkton Independent School Limited,"10,002.70",,
DIRECT LEARNING AND SKILLS,ACHIEVEMENT FOR ALL,27-Nov-2018,102703,GL Education Group Limited,"1,273.54",,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,215489,Grangelodge Residential Home Limited t/a Grangelodge,513.66,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,215489,Salutem LD BIDCO IV Limited t/a Ambito Care & Education,"2,350.04",,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,215803,ABM Catering for Leisure Limited,567.00,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,217541,Innovate Trust Limited,"268,766.40",,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,217909,Consensus Support Services Limited t/a Ty Machen,"2,285.13",,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,217909,Everycare (Cardiff) Limited,822.12,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,217909,Everycare (Cardiff) Limited,673.32,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,217909,HF Trust Limited,"4,463.20",,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,217909,Salutem LD BIDCO IV Limited t/a Ambito Care & Education,"10,451.68",,
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,27-Nov-2018,260090,Action for Children Services Limited,"87,353.50",,
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,27-Nov-2018,260140,PayPoint Payment Services Limited t/a CSGA Glamorgan,598.33,,
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,27-Nov-2018,260160,Neal Social Care Limited,"1,780.00",,
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,27-Nov-2018,260250,NonStop Recruitment Limited,"1,332.00",,
DIRECT ENVIRONMENT AND HOUSING,VEHICLES,27-Nov-2018,319010,Davies (Implements) Limited,502.72,,
DIRECT ENVIRONMENT AND HOUSING,VEHICLES,27-Nov-2018,319010,Fleetwheel Limited,778.00,,
DIRECT ENVIRONMENT AND HOUSING,VEHICLES,27-Nov-2018,319010,Ted Hopkins Limited,685.72,,
DIRECT ENVIRONMENT AND HOUSING,VEHICLES,27-Nov-2018,319010,Watts Truck & Van (Cardiff) Limited,"3,878.44",,
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,27-Nov-2018,325343,Garth Plant Hire Limited,"1,140.75",,
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,27-Nov-2018,325349,Calibre Contracting Limited,"2,050.20",,
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,27-Nov-2018,325349,Garth Plant Hire Limited,"1,106.25",,
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,27-Nov-2018,325349,Garth Plant Hire Limited,"1,106.25",,
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,27-Nov-2018,325350,Garth Plant Hire Limited,"1,106.25",,
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,27-Nov-2018,325350,Garth Plant Hire Limited,"1,106.25",,
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,27-Nov-2018,325351,Calibre Contracting Limited,685.95,,
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,27-Nov-2018,325351,Ran Hire and Sales Limited,620.54,,
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,27-Nov-2018,325682,Computacenter (UK) Limited,680.76,,
DIRECT ENVIRONMENT AND HOUSING,REGENERATION & PLANNING,27-Nov-2018,359457,Proactive First Aid Solutions Limited,595.00,,
DIRECT ENVIRONMENT AND HOUSING,REGULATORY SHARED SERVICES,27-Nov-2018,403135,Commercial Transfer Limited,"2,525.00",,
DIRECT ENVIRONMENT AND HOUSING,REGULATORY SHARED SERVICES,27-Nov-2018,403138,Hotel Metropole Limited,"1,900.00",,
DIRECT ENVIRONMENT AND HOUSING,REGULATORY SHARED SERVICES,27-Nov-2018,403221,Millennium Stadium Plc,720.00,,
DIRECT ENVIRONMENT AND HOUSING,REGULATORY SHARED SERVICES,27-Nov-2018,403301,Funeral Services Limited,"1,159.00",,
DIRECT ENVIRONMENT AND HOUSING,REGULATORY SHARED SERVICES,27-Nov-2018,403370,Hope Rescue Centre Limited,"1,743.84",,
DIRECT ENVIRONMENT AND HOUSING,HOUSING,27-Nov-2018,407150,PHS Group Plc,"2,263.38",,
DIRECT ENVIRONMENT AND HOUSING,HOUSING,27-Nov-2018,407400,Glamorgan Gem Limited,500.00,,
DIRECT MANAGING DIRECTOR AND RESOURCES,GF MISCELLANEOUS POLICY,27-Nov-2018,479050,E.E.S. (London) Limited,"2,117.00",,
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,AR CAPITAL ENGINEER,27-Nov-2018,831210,Severnside Transport Data Collection Limited,570.00,,
DIRECT CAPITAL DEVELOPMENT,CAPITAL PRIV HSG,27-Nov-2018,845003,ASW Property Services Limited,"5,031.01",,
DIRECT CAPITAL DEVELOPMENT,CAPITAL PRIV HSG,27-Nov-2018,845003,R & M Williams Limited,"5,426.96",,
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,27-Nov-2018,100401,Cardiff County Council,"3,675.73",,
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,27-Nov-2018,100402,Cardiff County Council,"7,079.19",,
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,27-Nov-2018,100403,Cardiff County Council,680.69,,
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,27-Nov-2018,100405,Cardiff County Council,"1,361.38",,
DIRECT ENVIRONMENT AND HOUSING,GF LEGAL AND DEMOCRATIC,27-Nov-2018,400500,East Sussex County Council,"1,724.96",,
DIRECT ENVIRONMENT AND HOUSING,GF LEGAL AND DEMOCRATIC,27-Nov-2018,400500,East Sussex County Council,"1,246.47",,
DIRECT ENVIRONMENT AND HOUSING,REGULATORY SHARED SERVICES,27-Nov-2018,403206,Ceredigion County Council,750.00,,
DIRECT ENVIRONMENT AND HOUSING,REGULATORY SHARED SERVICES,27-Nov-2018,403230,Cardiff County Council,"1,027.50",,
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,27-Nov-2018,260050,Dr Alison White & Partners LLP,"1,243.68",,
DIRECT CAPITAL LEARN AND SKILLS,AR CAPITAL SCHOOLS,27-Nov-2018,812304,Peter Regan & Ptn t/a Sonic Alarm Systems,"7,947.00",,
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,27-Nov-2018,260050,Catrin Jenkins,"1,240.00",,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,215489,Cardiff & Vale University Local Health Board,"5,198.98",,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,218321,Cardiff & Vale University Local Health Board,"7,787.80",,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,218321,Cardiff & Vale University Local Health Board,"7,567.89",,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,218411,Cardiff & Vale University Local Health Board,"4,557.49",,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,218427,Cardiff & Vale University Local Health Board,"5,000.00",,
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,27-Nov-2018,260118,Cardiff & Vale College,840.00,,
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,27-Nov-2018,260118,Cardiff & Vale College,910.00,,
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,27-Nov-2018,260118,Cardiff & Vale College,910.00,,
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,27-Nov-2018,260118,Cardiff & Vale College,910.00,,
DIRECT ENVIRONMENT AND HOUSING,REGULATORY SHARED SERVICES,27-Nov-2018,403135,Disclosure and Barring Service,"4,972.00",,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,27-Nov-2018,101006,Bay Resourcing Limited,"1,017.04",,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,27-Nov-2018,101006,Bay Resourcing Limited,"1,326.09",,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,27-Nov-2018,101006,Bay Resourcing Limited,881.69,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,27-Nov-2018,101075,New Directions (Education) Limited,640.00,,
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,27-Nov-2018,103202,Valley Education Services Limited,"1,017.30",,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,215489,April Complete Care Solutions Limited,584.00,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,216179,April Complete Care Solutions Limited,922.66,,
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,27-Nov-2018,405108,Orchard Medical Recruitment Limited,749.03,,
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,27-Nov-2018,405108,Orchard Medical Recruitment Limited,845.33,,
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,27-Nov-2018,405108,Orchard Medical Recruitment Limited,780.19,,
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,27-Nov-2018,405108,Orchard Medical Recruitment Limited,739.13,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,215486,Springbank Care Home Limited T/A Springbank Nursing Home,"3,356.88",,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,215486,The Manor House St Hilary Limited T/A Milsom House,898.02,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,215489,Acorn Luxury Care Limited,549.93,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,215489,Avan Limited T/A Brightside Manor,600.00,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,215489,Baltimore Care Limited,516.38,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,215489,Baltimore Care Limited,516.38,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,215489,Baltimore Care Limited,526.38,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,215489,Bellavista Care (Cardiff) Limited T/A Bellavista Nursing Home Cardiff,506.04,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,215489,Broadway Care Centre Limited T/A Hazelhurst Nursing Home,516.38,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,215489,Forge Care Homes Limited t/a The Forge Care Centre,925.00,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,215489,Forge Care Homes Limited t/a The Forge Care Centre,671.32,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,215489,Glamorgan Care Limited t/a Danygraig House,666.00,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,215489,Glamorgan Home Care Limited t/a Home Instead Senior Care,633.92,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,215489,Glamorgan Home Care Limited t/a Home Instead Senior Care,633.92,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,215489,Glamorgan Home Care Limited t/a Home Instead Senior Care,633.92,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,215489,Glamorgan Home Care Limited t/a Home Instead Senior Care,633.92,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,215489,Harrison Care Enterprises Barry Limited t/a Island View,516.38,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,215489,Hebron Hall Limited,"13,843.25",,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,215489,Hebron Hall Limited,505.50,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,215489,June Zehetmayr t/a Tower Hill Residential Home,538.12,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,215489,Llangoedmor Properties Limited T/A Parkside Residential Home,562.85,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,215489,Llangoedmor Properties Limited T/A Parkside Residential Home,516.38,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,215489,Llangoedmor Properties Limited T/A Parkside Residential Home,512.49,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,215489,Llangoedmor Properties Limited T/A Parkside Residential Home,516.38,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,215489,MHA Care Group t/a Morel Court,510.73,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,215489,MHA Care Group t/a Morel Court,531.09,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,215489,Middlepatch Limited T/A College Fields Nursing Home,592.17,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,215489,Middlepatch Limited T/A College Fields Nursing Home,621.36,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,215489,Middlepatch Limited T/A College Fields Nursing Home,605.25,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,215489,Middlepatch Limited T/A College Fields Nursing Home,602.96,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,215489,Middlepatch Limited T/A College Fields Nursing Home,518.39,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,215489,Middlepatch Limited T/A College Fields Nursing Home,605.25,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,215489,Middlepatch Limited T/A College Fields Nursing Home,544.72,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,215489,Middlepatch Limited T/A College Fields Nursing Home,617.27,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,215489,Middlepatch Limited T/A College Fields Nursing Home,614.38,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,215489,Middlepatch Limited T/A College Fields Nursing Home,605.25,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,215489,Middlepatch Limited T/A College Fields Nursing Home,630.07,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,215489,Middlepatch Limited T/A College Fields Nursing Home,609.89,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,215489,Middlepatch Limited T/A College Fields Nursing Home,550.28,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,215489,Middlepatch Limited T/A College Fields Nursing Home,502.26,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,215489,Middlepatch Limited T/A College Fields Nursing Home,597.36,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,215489,Middlepatch Limited T/A College Fields Nursing Home,605.25,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,215489,Middlepatch Limited T/A College Fields Nursing Home,605.25,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,215489,Northcote Developments Limited,518.88,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,215489,Northcote Developments Limited,524.03,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,215489,Northcote Developments Limited,515.73,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,215489,Northcote Developments Limited,508.79,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,215489,Oak House Care Limited T/a Oak House Care Home,531.69,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,215489,Oakville Care Limited t/a Romilly Nursing Home,900.00,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,215489,Springbank Care Home Limited T/A Springbank Nursing Home,"9,485.52",,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,215489,Springbank Care Home Limited T/A Springbank Nursing Home,603.33,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,215489,Springbank Care Home Limited T/A Springbank Nursing Home,629.38,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,215489,Springbank Care Home Limited T/A Springbank Nursing Home,556.38,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,215489,Springbank Care Home Limited T/A Springbank Nursing Home,666.50,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,215489,The Manor House St Hilary Limited T/A Milsom House,"3,530.10",,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,215489,The Manor House St Hilary Limited T/A The Manor House,"1,176.70",,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,215489,Waverley Care Centre Limited,570.21,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,215489,Waverley Care Centre Limited,519.12,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,215489,Waverley Care Centre Limited,715.33,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,215489,Waverley Care Centre Limited,540.83,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,215489,Waverley Care Centre Limited,540.83,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,215489,Waverley Care Centre Limited,605.03,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,215489,Waverley Care Centre Limited,675.33,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,215489,Waverley Care Centre Limited,588.87,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,215489,Waverley Care Centre Limited,512.53,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,215489,Waverley Care Centre Limited,541.60,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,215489,Waverley Care Centre Limited,519.40,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,215489,Waverley Care Centre Limited,614.77,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,216179,Amethyst Healthcare Limited t/a Hillstone House,"1,816.95",,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,216179,Bellavista Nursing Homes (Wales) Limited t/a Bellavista Care Home,552.23,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,216179,Care 4 U (Neath) Limited,"1,754.28",,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,216179,Crusader Medical Care Limited T/A St Saviours Nursing Home,551.35,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,216179,Leonard Cheshire Disability,"1,209.78",,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,216179,Llysywaun Limited t/a Bayview Lodge Nursing Home,746.35,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,216179,Middlepatch Limited T/A College Fields Nursing Home,655.45,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,216179,Springbank Care Home Limited T/A Springbank Nursing Home,770.00,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,216179,Valebrook Care Homes Limited,"1,851.35",,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,27-Nov-2018,216179,Voyage 1 Limited t/a Brook Lodge,"2,528.20",,
